"siteslist","cc","meanmat","varmat","varlogmat","sdmat","meanlo","varlo","varloglo","sdlo","meanutah","meangdd","matslope","matslopese","matslopeconfint11","matslopeconfint89","matslopelog","matslopelogse","matslopelogconfint11","matslopelogconfint89","lomatslope","lomatslopelog","lomatslopelogse","lomatslopelogconfint11","lomatslopelogconfint89","meanmatlo","varmatlo","sdmatlo","matslopelog_exp","lomatslopelog_exp"
21,"1950-1960",5.84172937762389,3.26807054943274,0.134753741069712,1.80778055898185,116.6,85.8222222222222,0.00636918723310326,9.26402840141492,2212.8,88.8886663630515,-4.30698299276146,0.981753564515617,-6.07152358789922,-2.54244239762371,-0.174495862738456,0.0458483604721215,-0.256900751498379,-0.0920909739785322,-3.46334156698535,-0.232625408703717,0.20503176650967,-0.601136294098483,0.13588547669105,7.73461273034374,0.922232772971154,0.960329512704444,0.83988032902661,0.792450362942172
21,"2000-2010",6.62546706502402,0.911952937897159,0.0205979417240222,0.954962270405045,106,44.2222222222222,0.00404160556211379,6.64997911442,2206.8,63.3204209224165,-4.95247120371331,1.73078053414772,-8.06326460865977,-1.84167779876686,-0.311084070587771,0.111490330731576,-0.511469606889096,-0.110698534286446,0.71769527276784,0.0387977630874525,0.148352455487584,-0.22784138094801,0.305436907122915,6.84359662122724,1.08421528307302,1.04125658848961,0.732652278772409,1.03956022493954
22,"1950-1960",5.66807364380048,3.78490093900144,0.166000661392007,1.94548218676025,114.7,117.344444444444,0.00923228780447864,10.8325640752522,2058,75.937819459062,-4.62995242102492,1.09355196647892,-6.59543225984458,-2.66447258220527,-0.180101716227785,0.0538276669275926,-0.276848096244397,-0.0833553362111729,-3.99421935301023,-0.256981551186586,0.294419023209428,-0.78615133188421,0.272188229511039,7.09704822846538,0.61329175805025,0.783129464424784,0.835185255196972,0.773382481622938
22,"2000-2010",6.35584412023089,1.10511822682239,0.0289415801919587,1.05124603534206,110.1,39.2111111111111,0.00334153880005363,6.26187760269323,2145.6,61.1279838989252,-4.48093299613813,1.38756133496071,-6.97484632864508,-1.98701966363119,-0.248325891005285,0.0820002402695555,-0.395707838977197,-0.100943943033372,2.90697372060177,0.16469408820584,0.0982123758470698,-0.0118265075839856,0.341214683995665,6.65124178681703,1.33813855186975,1.15677938772687,0.780105672426178,1.1790323836258
23,"1950-1960",5.79456544425186,3.03965016130418,0.134365626420533,1.74345925140342,111.2,21.9555555555556,0.0018611398400393,4.68567557088149,2107.2,64.6547309061575,-1.49012447265154,0.790773552962159,-2.91140990129318,-0.0688390440098869,-0.0591188361796953,0.0359796338717863,-0.123786311664018,0.00554863930462763,0.385061840707913,0.0354706416460911,0.0694734010838801,-0.0893963727713989,0.160337656063581,6.86795145939255,2.24622482183127,1.49874107898305,0.942594748142287,1.03610722927882
23,"2000-2010",6.41496706972906,0.734355561844624,0.0181958714899838,0.856945483589606,111.7,28.0111111111111,0.00230422435508295,5.29255241930688,2134.8,70.4463816638349,-4.36035497873381,1.54641131676313,-7.1397750326404,-1.58093492482723,-0.247384767038527,0.0904400607772132,-0.409935904550164,-0.084833629526889,2.12188222862191,0.125232785650514,0.10717759697625,-0.0674013209006706,0.317866892201699,7.10185467997085,1.1127816952542,1.0548846833916,0.780840194154889,1.13341226447117
24,"1950-1960",4.63098350304683,3.58721174653394,0.297424714737518,1.89399359727902,112.4,147.377777777778,0.0121348555450211,12.1399249494294,1933.2,54.2942278716904,-5.85343820855501,0.923409165595036,-7.51311434063877,-4.19376207647125,-0.161017798669819,0.0431176061618119,-0.238514605595309,-0.0835209917443284,2.34336986290052,0.149255059155662,0.399605394227844,-0.568969926866113,0.867480045177438,6.01853212353984,0.336497293605796,0.580083867734482,0.851276919375499,1.16096906723881
24,"2000-2010",5.67280315189149,0.913552555237343,0.0263171539352438,0.95579943253663,108,16.6666666666667,0.00141697242698938,4.08248290463863,2068.8,53.1454089914892,-2.89980648476134,1.1087672537998,-4.89263330057681,-0.906979668945866,-0.159456922596028,0.059598291052034,-0.266575050569452,-0.0523387946226041,0.593930907634349,0.0272849995044213,0.0620142866347415,-0.0841754832487017,0.138745482257544,6.13925792729302,1.59082256271519,1.26127814645113,0.852606694688375,1.02766064380593
25,"1950-1960",3.72503270362427,4.02390122236907,0.829511801719195,2.00596640609186,116,91.1111111111111,0.0068407171429563,9.54521404218424,1982.4,46.5958304859211,-4.16085926764007,0.816220878744307,-5.62788207988108,-2.69383645539906,-0.0698993664434448,0.0204962102395911,-0.106737934004012,-0.0330607988828773,-1.48685845352449,-0.0542575463284744,0.115666931728148,-0.262149836131408,0.153634743474459,5.43320955597766,1.77396465910666,1.3319026462571,0.932487654733542,0.947188130260231
25,"2000-2010",5.11949988557026,1.27482715858903,0.0473270187395264,1.12908244100643,112.2,38.6222222222222,0.00316125654961336,6.21467796609142,2085.6,51.9787783399914,-4.45263250880777,1.14401211360566,-6.50880616454845,-2.39645885306707,-0.202781195552907,0.0566522373610745,-0.304604276458468,-0.100958114647347,1.48561586586615,0.0781779260704751,0.147317312791039,-0.1866007191842,0.342956571325151,6.1505643786532,0.688598467598565,0.829818334094015,0.816456866276142,1.08131503569038
